學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HM75 	電機系（碩）	AEC8055 	3D內容生成與體感互動	3D Content Generation and Motion-Sensing Interaction	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8056 	工程量測理論與電路	Industrial Measurement Theory and Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8056 	工程量測理論與電路	Industrial Measurement Theory and Circuits	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8057 	演化式計算	Evolutionary Computation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8057 	演化式計算	Evolutionary Computation	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8058 	深度學習	Deep Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8058 	深度學習	Deep Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8059 	強化式學習	Reinforcement Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8059 	強化式學習	Reinforcement Learning	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8060 	機器人視覺	Robot Vision	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8060 	機器人視覺	Robot Vision	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8061 	智慧型移動機器人	Intelligent Mobile Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8061 	智慧型移動機器人	Intelligent Mobile Robotics	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8062 	多媒體內容分析及應用	Multimedia Content Analytics and Applications	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8062 	多媒體內容分析及應用	Multimedia Content Analytics and Applications	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
